ID,X,Y,Click
1,437,556,0
2,418,537,0
3,397,516,0
4,362,480,0
5,316,432,0
6,273,382,0
7,238,336,0
8,215,293,0
9,197,257,0
10,189,232,0
11,188,215,0
12,188,198,0
13,191,182,0
14,195,168,0
15,198,153,0
16,199,141,0
17,197,124,0
18,194,108,0
19,185,87,0
20,179,73,0
21,173,60,0
22,170,49,0
23,167,45,0
24,166,42,0
25,166,39,0
26,166,38,0
27,166,37,0
28,166,36,0
29,166,35,0
30,166,34,0
31,166,33,0
32,166,32,0
33,166,31,0
34,166,30,0
35,165,28,0
36,151,119,0
37,161,123,0
38,173,128,0
39,181,129,0
40,191,129,0
41,211,122,0
42,214,118,0
43,217,115,0
44,217,112,0
45,217,107,0
46,156,247,0
47,232,261,0
48,254,261,0
49,286,261,0
50,310,258,0
51,327,251,0
52,336,246,0
53,339,241,0
54,340,237,0
55,339,230,0
56,336,226,0
57,331,220,0
58,325,216,0
59,321,215,0
60,311,215,0
61,301,219,0
62,293,229,0
63,286,241,0
64,275,265,0
65,265,290,0
66,263,310,0
67,263,324,0
68,268,332,0
69,273,336,0
70,278,339,0
71,287,342,0
72,295,343,0
73,303,343,0
74,314,342,0
75,323,340,0
76,332,335,0
77,338,331,0
78,345,323,0
79,348,317,0
80,349,307,0
81,349,298,0
82,349,291,0
83,348,282,0
84,346,275,0
85,341,265,0
86,338,259,0
87,331,250,0
88,323,244,0
89,313,237,0
90,297,231,0
91,285,229,0
92,265,229,0
93,246,233,0
94,213,245,0
95,187,257,0
96,155,276,0
97,138,289,0
98,123,303,0
99,117,309,0
100,116,310,0
101,117,307,0
102,121,296,0
103,127,285,0
104,131,275,0
105,137,265,0
106,147,248,0
107,154,238,0
108,165,225,0
109,181,207,0
110,193,198,0
111,212,186,0
112,226,180,0
113,256,172,0
114,275,172,0
115,308,172,0
116,333,180,0
117,360,195,0
118,383,215,0
119,393,229,0
120,403,249,0
121,408,266,0
122,410,289,0
123,410,305,0
124,410,330,0
125,410,344,0
126,409,363,0
127,407,378,0
128,404,388,0
129,396,401,0
130,387,408,0
131,371,420,0
132,359,425,0
133,343,433,0
134,329,438,0
135,306,445,0
136,288,448,0
137,278,449,0
138,263,449,0
139,251,446,0
140,361,337,0
141,320,335,0
142,278,340,0
143,234,357,0
144,199,381,0
145,176,403,0
146,168,418,0
147,169,428,0
148,186,437,0
149,218,443,0
150,256,445,0
151,297,445,0
152,321,440,0
153,353,433,0
154,373,425,0
155,385,419,0
156,392,414,0
157,393,412,0
158,394,411,0
159,394,410,0
160,394,417,0
161,394,432,0
162,400,450,0
163,408,461,0
164,424,474,0
165,447,485,0
166,466,490,0
167,479,493,0
168,491,495,0
169,496,495,0
170,380,418,0
171,383,408,0
172,384,398,0
173,384,388,0
174,382,375,0
175,378,366,0
176,372,361,0
177,368,361,0
178,366,366,0
179,365,375,0
180,365,384,0
181,366,403,0
182,377,426,0
183,395,445,0
184,421,458,0
185,445,464,0
186,461,467,0
187,475,469,0
188,483,469,0
189,488,469,0
190,491,467,0
191,495,466,0
192,498,466,0
193,505,466,0
194,524,475,0
195,551,494,0
196,473,567,0
197,474,565,0
198,476,564,0
199,479,561,0
200,484,559,0
201,487,557,0
202,493,554,0
203,499,550,0
204,509,544,0
205,518,539,0
206,530,532,0
207,541,525,0
208,473,567,0
209,474,565,0
210,476,564,0
211,479,561,0
212,473,567,0
213,484,559,0
214,474,565,0
215,487,557,0
216,476,564,0
217,493,554,0
218,479,561,0
219,499,550,0
220,484,559,0
221,509,544,0
222,487,557,0
223,518,539,0
224,493,554,0
225,499,550,0
226,530,532,0
227,509,544,0
228,541,525,0
229,518,539,0
230,530,532,0
231,541,525,0
232,309,19,0
233,344,28,0
234,390,37,0
235,491,57,0
236,526,64,0
237,1303,12,0
238,1303,12,0
239,1297,15,0
240,1291,18,0
241,1239,53,0
242,1194,76,0
243,1118,111,0
244,1022,152,0
245,928,187,0
246,840,222,0
247,760,254,0
248,688,279,0
249,639,301,0
250,620,308,0
251,613,312,0
252,615,312,0
253,645,309,0
254,705,289,0
255,767,263,0
256,826,240,0
257,854,222,0
258,866,206,0
259,869,192,0
260,865,191,0
261,852,196,0
262,837,224,0
263,828,274,0
264,841,301,0
265,885,322,0
266,942,330,0
267,1005,332,0
268,1076,320,0
269,1125,299,0
270,1146,268,0
271,1144,238,0
272,1126,195,0
273,1095,162,0
274,1062,148,0
275,1030,147,0
276,999,159,0
277,962,198,0
278,937,265,0
279,956,281,0
280,1001,293,0
281,1061,293,0
282,1120,289,0
283,1155,276,0
284,1172,262,0
285,1182,244,0
286,1187,214,0
287,1188,167,0
288,1188,147,0
289,1187,133,0
290,1186,124,0
291,1185,113,0
292,1185,106,0
293,1190,99,0
294,1198,93,0
295,1207,88,0
296,1223,86,0
297,1238,90,0
298,1250,91,0
299,902,353,0
300,850,329,0
301,780,298,0
302,713,270,0
303,663,259,0
304,608,255,0
305,581,253,0
306,560,242,0
307,547,228,0
308,534,203,0
309,521,177,0
310,509,150,0
311,491,99,0
312,465,47,0
313,433,1,0
314,392,11,0
315,384,40,0
316,370,71,0
317,362,84,0
318,361,85,0
319,362,85,0
320,365,81,0
321,370,70,0
322,377,50,0
323,382,30,0
324,381,6,0
325,276,2,0
326,212,45,0
327,208,45,0
328,202,50,0
329,193,64,0
330,183,79,0
331,178,85,0
332,176,84,0
333,170,81,0
334,159,83,0
335,140,92,0
336,127,99,0
337,110,106,0
338,106,106,0
339,104,106,0
340,101,106,0
341,97,106,0
342,92,106,0
343,90,106,0
344,89,106,0
345,88,106,0
346,88,108,0
347,88,110,0
348,88,113,0
349,88,114,0
350,88,116,0
351,87,120,0
352,84,126,0
353,83,148,0
354,85,167,0
355,91,183,0
356,98,202,0
357,104,224,0
358,108,241,0
359,112,256,0
360,119,274,0
361,124,289,0
362,131,304,0
363,133,310,0
364,134,310,0
365,135,311,0
366,75,484,0
367,78,489,0
368,81,493,0
369,84,496,0
370,87,501,0
371,90,506,0
372,94,513,0
373,95,515,0
374,98,517,0
375,105,521,0
376,111,522,0
377,114,523,0
378,126,527,0
379,145,537,0
380,172,550,0
381,200,561,0
382,238,574,0
383,263,575,0
384,282,575,0
385,397,535,0
386,444,524,0
387,491,521,0
388,543,521,0
389,573,521,0
390,595,527,0
391,612,530,0
392,622,531,0
393,630,532,0
394,654,536,0
395,720,549,0
396,738,553,0
397,769,562,0
398,778,563,0
399,783,563,0
400,784,563,0
401,786,559,0
402,790,553,0
403,799,539,0
404,804,533,0
405,809,532,0
406,813,532,0
407,818,533,0
408,829,539,0
409,862,548,0
410,871,550,0
411,882,551,0
412,895,554,0
413,901,554,0
414,907,554,0
415,909,553,0
416,917,550,0
417,926,546,0
418,934,542,0
419,939,539,0
420,941,537,0
421,944,535,0
422,947,534,0
423,958,534,0
424,976,535,0
425,988,537,0
426,997,539,0
427,1002,539,0
428,1003,539,0
429,1003,538,0
430,1003,537,0
431,1003,536,0
432,1004,535,0
433,1004,534,0
434,1005,534,0
435,1007,533,0
436,1008,533,0
437,1010,533,0
438,1013,533,0
439,1016,533,0
440,1019,533,0
441,1020,533,0
442,1020,534,0
443,1020,535,0
444,1020,537,0
445,1020,538,0
446,1020,539,0
447,1020,541,0
448,1020,543,0
449,1020,544,0
450,1019,546,0
451,1019,547,0
452,1018,547,0
453,1016,548,0
454,1013,549,0
455,1010,550,0
456,1006,551,0
457,1003,551,0
458,1000,551,0
459,999,551,0
460,998,551,0
461,995,548,0
462,994,548,0
463,994,547,0
464,994,546,0
465,997,544,0
466,1001,542,0
467,1004,540,0
468,1008,539,0
469,1009,539,0
470,1011,541,0
471,1011,540,0
472,1011,537,0
473,1008,535,0
474,1004,532,0
475,997,531,0
476,990,531,0
477,988,532,0
478,985,535,0
479,983,541,0
480,983,543,0
481,986,546,0
482,991,547,0
483,997,547,0
484,1004,547,0
485,1012,545,0
486,1017,540,0
487,1017,537,0
488,1017,528,0
489,1014,523,0
490,1010,522,0
491,1007,521,0
492,1002,521,0
493,997,525,0
494,993,529,0
495,991,534,0
496,995,535,0
497,1002,535,0
498,1009,535,0
499,1015,532,0
500,1016,530,0
501,1017,526,0
502,1013,521,0
503,1008,519,0
504,1002,518,0
505,996,519,0
506,984,527,0
507,985,530,0
508,990,530,0
509,996,530,0
510,1000,530,0
511,1002,529,0
512,1002,528,0
513,1002,527,0
514,1001,527,0
515,1000,527,0
516,1000,526,0
517,1000,525,0
518,1000,524,0
519,1000,523,0
520,1000,522,0
521,1000,521,0
522,1000,520,0
523,999,520,0
524,996,520,0
525,996,522,0
526,996,524,0
527,996,526,0
528,998,526,0
529,1006,523,0
530,1010,517,0
531,1010,514,0
532,1010,512,0
533,1007,509,0
534,1011,503,0
535,1009,501,0
536,1003,490,0
537,992,472,0
538,916,394,0
539,829,333,0
540,708,261,0
541,595,185,0
542,491,126,0
543,420,92,0
544,389,77,0
545,378,76,0
546,377,78,0
547,376,83,0
548,373,102,0
549,371,118,0
550,370,124,0
551,370,134,0
552,369,145,0
553,368,152,0
554,366,155,0
555,364,157,0
556,357,157,0
557,330,142,0
558,308,129,0
559,275,115,0
560,248,106,0
561,225,101,0
562,197,90,0
563,169,79,0
564,143,65,0
565,109,44,0
566,95,36,0
567,91,33,0
568,89,32,0
569,88,32,0
570,55,18,0
571,50,15,0
572,45,14,0
573,39,13,0
574,34,13,0
575,33,13,0
576,32,13,0
577,31,13,0
578,30,15,0
579,30,16,0
580,29,18,0
581,28,18,0
582,27,16,0
583,26,15,0
584,24,15,0
585,22,15,0
586,19,16,0
587,16,18,0
588,13,22,0
589,11,25,0
590,11,26,0
591,11,27,0
592,13,27,0
593,18,27,0
594,23,27,0
595,28,24,0
596,30,20,0
597,31,19,0
598,31,15,0
599,30,12,0
600,28,10,0
601,24,10,0
602,21,10,0
603,18,10,0
604,17,10,0
605,16,15,0
606,16,20,0
607,18,25,0
608,25,33,0
609,30,35,0
610,35,36,0
611,38,36,0
612,40,35,0
613,41,32,0
614,41,28,0
615,41,23,0
616,39,19,0
617,13,30,0
618,16,35,0
619,19,38,0
620,22,39,0
621,27,39,0
622,33,36,0
623,35,32,0
624,37,28,0
625,38,23,0
626,38,16,0
627,37,13,0
628,35,11,0
629,32,10,0
630,29,10,0
631,24,10,0
632,21,10,0
633,17,12,0
634,12,18,0
635,9,23,0
636,9,28,0
637,9,32,0
638,9,35,0
639,12,39,0
640,16,39,0
641,21,39,0
642,27,39,0
643,34,35,0
644,35,28,0
645,35,22,0
646,33,17,0
647,31,15,0
648,18,43,0
649,21,41,0
650,23,38,0
651,26,32,0
652,26,27,0
653,26,23,0
654,24,19,0
655,20,13,0
656,13,11,0
657,8,10,0
658,2,9,0
659,0,9,0
660,0,27,0
661,4,30,0
662,7,33,0
663,30,12,0
664,29,12,0
665,27,12,0
666,25,13,0
667,25,14,0
668,22,23,0
669,22,25,0
670,22,26,0
671,23,26,0
672,24,26,0
673,26,24,0
674,26,22,0
675,26,18,0
676,26,16,0
677,25,14,0
678,24,14,0
679,26,15,0
680,29,20,0
681,33,25,0
682,38,29,0
683,42,31,0
684,46,34,0
685,47,35,0
686,46,35,0
687,44,35,0
688,36,32,0
689,32,31,0
690,29,28,0
691,27,25,0
692,27,23,0
693,26,21,0
694,26,19,0
695,26,17,0
696,26,16,0
697,26,15,0
698,28,14,0
699,30,14,0
700,36,13,0
701,40,13,0
702,44,13,0
703,48,13,0
704,50,13,0
705,51,13,0
706,53,13,0
707,54,14,0
708,57,17,0
709,58,19,0
710,60,20,0
711,61,23,0
712,61,24,0
713,37,14,0
714,35,15,0
715,34,18,0
716,33,24,0
717,33,29,0
718,34,32,0
719,37,33,0
720,43,34,0
721,50,33,0
722,56,32,0
723,61,27,0
724,62,23,0
725,61,17,0
726,57,12,0
727,51,12,0
728,45,12,0
729,38,17,0
730,33,25,0
731,29,30,0
732,28,35,0
733,28,37,0
734,31,39,0
735,38,22,0
736,35,21,0
737,33,21,0
738,31,24,0
739,30,30,0
740,31,36,0
741,36,39,0
742,45,41,0
743,55,40,0
744,64,35,0
745,71,29,0
746,74,25,0
747,74,21,0
748,66,16,0
749,58,15,0
750,48,15,0
751,38,17,0
752,31,21,0
753,29,26,0
754,29,29,0
755,30,32,0
756,33,34,0
757,38,36,0
758,42,36,0
759,45,36,0
760,48,33,0
761,49,29,0
762,49,24,0
763,46,20,0
764,40,18,0
765,36,18,0
766,33,20,0
767,28,34,0
768,28,43,0
769,33,48,0
770,38,50,0
771,45,51,0
772,49,50,0
773,54,44,0
774,55,40,0
775,55,36,0
776,51,29,0
777,44,27,0
778,37,27,0
779,38,22,0
780,28,29,0
781,35,21,0
782,28,30,0
783,33,21,0
784,30,31,0
785,31,24,0
786,32,32,0
787,30,30,0
788,31,36,0
789,38,33,0
790,36,39,0
791,43,33,0
792,45,41,0
793,46,32,0
794,55,40,0
795,49,31,0
796,64,35,0
797,50,30,0
798,71,29,0
799,74,25,0
800,74,21,0
801,66,16,0
802,58,15,0
803,48,15,0
804,38,17,0
805,31,21,0
806,29,26,0
807,29,29,0
808,30,32,0
809,33,34,0
810,38,36,0
811,42,36,0
812,45,36,0
813,48,33,0
814,49,29,0
815,49,24,0
816,46,20,0
817,40,18,0
818,36,18,0
819,33,20,0
820,28,34,0
821,28,43,0
822,33,48,0
823,38,50,0
824,45,51,0
825,49,50,0
826,54,44,0
827,55,40,0
828,55,36,0
829,51,29,0
830,44,27,0
831,37,27,0
832,28,29,0
833,28,30,0
834,30,31,0
835,32,32,0
836,38,33,0
837,43,33,0
838,46,32,0
839,49,31,0
840,50,30,0
841,50,31,0
842,50,32,0
843,48,34,0
844,48,35,0
845,46,39,0
846,46,40,0
847,47,40,0
848,48,39,0
849,50,37,0
850,50,32,0
851,50,28,0
852,49,26,0
853,47,26,0
854,43,33,0
855,42,40,0
856,42,45,0
857,44,47,0
858,49,49,0
859,58,50,0
860,64,50,0
861,70,50,0
862,76,49,0
863,77,49,0
864,77,47,0
865,73,46,0
866,70,45,0
867,62,45,0
868,56,45,0
869,54,49,0
870,58,59,0
871,72,67,0
872,82,70,0
873,89,71,0
874,96,71,0
875,101,71,0
876,107,69,0
877,119,64,0
878,125,62,0
879,128,61,0
880,130,61,0
881,132,60,0
882,133,60,0
883,133,59,0
884,133,58,0
885,128,55,0
886,124,53,0
887,110,53,0
888,91,53,0
889,255,70,0
890,261,70,0
891,272,70,0
892,283,70,0
893,295,70,0
894,301,70,0
895,304,70,0
896,305,70,0
897,306,70,0
898,311,70,0
899,320,74,0
900,332,79,0
901,346,86,0
902,362,95,0
903,373,104,0
904,383,115,0
905,391,124,0
906,395,129,0
907,409,142,0
908,417,150,0
909,428,160,0
910,597,286,0
911,595,292,0
912,595,300,0
913,595,303,0
914,597,306,0
915,599,307,0
916,603,304,0
917,603,300,0
918,602,291,0
919,596,286,0
920,589,286,0
921,579,292,0
922,572,303,0
923,570,309,0
924,570,311,0
925,584,311,0
926,594,307,0
927,599,302,0
928,601,297,0
929,601,295,0
930,598,289,0
931,589,281,0
932,578,279,0
933,564,281,0
934,559,287,0
935,559,289,0
936,561,291,0
937,566,291,0
938,574,291,0
939,578,291,0
940,579,291,0
941,580,289,0
942,579,283,0
943,571,273,0
944,556,269,0
945,544,270,0
946,569,287,0
947,569,280,0
948,566,272,0
949,561,268,0
950,558,268,0
951,552,273,0
952,550,277,0
953,547,286,0
954,547,293,0
955,550,296,0
956,554,297,0
957,560,297,0
958,566,295,0
959,569,292,0
960,569,287,0
961,569,281,0
962,563,276,0
963,556,274,0
964,551,273,0
965,543,276,0
966,536,291,0
967,537,299,0
968,541,303,0
969,545,305,0
970,554,306,0
971,561,305,0
972,564,303,0
973,566,299,0
974,566,293,0
975,562,284,0
976,554,280,0
977,549,280,0
978,541,284,0
979,533,294,0
980,532,298,0
981,532,303,0
982,537,304,0
983,544,304,0
984,552,301,0
985,554,299,0
986,555,296,0
987,555,293,0
988,552,289,0
989,548,287,0
990,543,287,0
991,537,288,0
992,530,295,0
993,529,299,0
994,530,301,0
995,531,302,0
996,535,302,0
997,537,302,0
998,552,284,0
999,556,289,0
1000,559,296,0
1001,568,311,0
1002,582,326,0
1003,597,334,0
1004,607,337,0
1005,616,340,0
1006,631,355,0
1007,651,381,0
1008,667,405,0
1009,681,433,0
1010,750,497,0
1011,752,501,0
1012,753,507,0
1013,755,512,0
1014,756,519,0
1015,760,534,0
1016,763,543,0
1017,767,550,0
1018,768,554,0
1019,768,557,0
1020,767,561,0
1021,765,571,0
1022,765,586,0
1023,765,598,0
1024,765,609,0
1025,765,612,0
1026,763,613,0
1027,762,616,0
1028,762,620,0
1029,761,624,0
1030,761,626,0
1031,508,583,0
1032,508,577,0
1033,511,571,0
1034,515,566,0
1035,546,546,0
1036,569,529,0
1037,596,501,0
1038,641,452,0
1039,690,400,0
1040,749,323,0
1041,809,229,0
1042,868,144,0
1043,925,73,0
1044,750,497,0
1045,974,16,0
1046,752,501,0
1047,753,507,0
1048,755,512,0
1049,756,519,0
1050,760,534,0
1051,763,543,0
1052,767,550,0
1053,768,554,0
1054,768,557,0
1055,767,561,0
1056,765,571,0
1057,765,586,0
1058,765,598,0
1059,765,609,0
1060,765,612,0
1061,763,613,0
1062,762,616,0
1063,762,620,0
1064,761,624,0
1065,761,626,0
1066,508,583,0
1067,750,497,0
1068,508,577,0
1069,752,501,0
1070,511,571,0
1071,753,507,0
1072,515,566,0
1073,546,546,0
1074,750,497,0
1075,755,512,0
1076,569,529,0
1077,756,519,0
1078,752,501,0
1079,596,501,0
1080,760,534,0
1081,753,507,0
1082,641,452,0
1083,763,543,0
1084,755,512,0
1085,690,400,0
1086,756,519,0
1087,767,550,0
1088,749,323,0
1089,760,534,0
1090,768,554,0
1091,809,229,0
1092,763,543,0
1093,768,557,0
1094,868,144,0
1095,767,561,0
1096,767,550,0
1097,925,73,0
1098,768,554,0
1099,765,571,0
1100,974,16,0
1101,765,586,0
1102,768,557,0
1103,767,561,0
1104,765,598,0
1105,765,571,0
1106,765,609,0
1107,765,586,0
1108,765,612,0
1109,765,598,0
1110,763,613,0
1111,765,609,0
1112,762,616,0
1113,765,612,0
1114,762,620,0
1115,763,613,0
1116,761,624,0
1117,762,616,0
1118,761,626,0
1119,762,620,0
1120,508,583,0
1121,761,624,0
1122,508,577,0
1123,761,626,0
1124,511,571,0
1125,508,583,0
1126,515,566,0
1127,508,577,0
1128,546,546,0
1129,511,571,0
1130,569,529,0
1131,515,566,0
1132,596,501,0
1133,546,546,0
1134,641,452,0
1135,569,529,0
1136,690,400,0
1137,596,501,0
1138,749,323,0
1139,641,452,0
1140,809,229,0
1141,690,400,0
1142,868,144,0
1143,749,323,0
1144,925,73,0
1145,809,229,0
1146,974,16,0
1147,868,144,0
1148,925,73,0
1149,974,16,0
1150,288,1,0
1151,272,1,0
1152,239,1,0
1153,215,0,0
1154,191,88,0
1155,297,153,0
1156,384,148,0
1157,386,144,0
1158,387,134,0
1159,377,115,0
1160,354,93,0
1161,333,84,0
1162,311,83,0
1163,292,87,0
1164,273,99,0
1165,251,117,0
1166,230,139,0
1167,214,167,0
1168,206,196,0
1169,203,223,0
1170,206,243,0
1171,214,263,0
1172,233,281,0
1173,297,312,0
1174,350,324,0
1175,407,332,0
1176,458,335,0
1177,499,335,0
1178,538,328,0
1179,570,321,0
1180,605,306,0
1181,638,276,0
1182,644,251,0
1183,641,219,0
1184,601,150,0
1185,584,134,0
1186,542,101,0
1187,495,75,0
1188,459,66,0
1189,408,65,0
1190,375,73,0
1191,344,89,0
1192,311,113,0
1193,281,146,0
1194,262,174,0
1195,254,195,0
1196,249,212,0
1197,248,220,0
1198,242,228,0
1199,240,229,0
1200,236,230,0
1201,234,230,0
1202,230,230,0
1203,227,230,0
1204,226,230,0
1205,224,230,0
1206,273,184,0
1207,289,174,0
1208,312,163,0
1209,337,153,0
1210,369,142,0
1211,400,135,0
1212,431,128,0
1213,460,124,0
1214,489,120,0
1215,552,117,0
1216,598,117,0
1217,646,119,0
1218,693,127,0
1219,719,133,0
1220,745,147,0
1221,757,162,0
1222,767,179,0
1223,777,199,0
1224,787,221,0
1225,796,244,0
1226,798,262,0
1227,797,281,0
1228,786,298,0
1229,764,314,0
1230,747,325,0
1231,724,332,0
1232,681,338,0
1233,643,341,0
1234,601,342,0
1235,546,344,0
1236,232,210,0
1237,232,217,0
1238,241,232,0
1239,263,238,0
1240,280,238,0
1241,298,237,0
1242,316,229,0
1243,327,215,0
1244,331,197,0
1245,331,177,0
1246,322,155,0
1247,302,133,0
1248,278,118,0
1249,259,117,0
1250,236,124,0
1251,224,140,0
1252,219,157,0
1253,218,172,0
1254,228,183,0
1255,249,187,0
1256,299,185,0
1257,337,176,0
1258,363,158,0
1259,370,132,0
1260,365,108,0
1261,331,68,0
1262,281,29,0
1263,228,10,0
1264,182,4,0
1265,149,8,0
1266,130,20,0
1267,120,35,0
1268,121,65,0
1269,235,66,0
1270,224,45,0
1271,201,23,0
1272,172,12,0
1273,137,10,0
1274,103,13,0
1275,72,26,0
1276,55,46,0
1277,51,65,0
1278,60,87,0
1279,88,105,0
1280,122,115,0
1281,162,119,0
1282,188,118,0
1283,200,110,0
1284,202,100,0
1285,201,85,0
1286,192,71,0
1287,180,63,0
1288,160,63,0
1289,144,73,0
1290,129,93,0
1291,121,111,0
1292,121,122,0
1293,130,131,0
1294,149,134,0
1295,205,130,0
1296,236,118,0
1297,248,108,0
1298,247,91,0
1299,225,71,0
1300,192,57,0
1301,155,50,0
1302,123,53,0
1303,95,69,0
1304,81,90,0
1305,86,111,0
1306,115,124,0
1307,145,128,0
1308,171,126,0
1309,184,119,0
1310,190,107,0
1311,188,92,0
1312,173,77,0
1313,154,67,0
